17:29:37 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:29:42 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:07 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:12 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:17 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:22 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:27 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:32 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:37 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:42 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:47 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:52 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:31:57 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:02 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:07 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:12 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:17 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:22 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:27 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:32 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:37 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:42 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:47 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:53 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:32:58 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:03 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:08 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:13 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:18 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:23 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:28 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:33 | RECEIVED: 230 B/s | TRANSMIT: 230 B/s
17:33:38 | RECEIVED: 84 B/s | TRANSMIT: 84 B/s
17:33:43 | RECEIVED: 230 B/s | TRANSMIT: 230 B/s
17:33:48 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:53 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:33:58 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:03 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:08 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:13 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:18 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:23 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:28 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:33 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:38 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:43 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:48 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:53 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
